Manufacturer,Model Name,Device Name,Model Code,GPU,Form Factor,System on Chip,Total MEM,ABIs,OpenGL ES Versions,SDK
Tecno,i7,TECNO i7,TECNO-i7,Mali-T860MP2,Phone,Mediatek MT6750T,3819MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
Tecno,Camon CXS,TECNO Camon CX,TECNO-CX,Mali-T860MP2,Phone,Mediatek MT6750T,1802MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
Tecno,Camon I,TECNO IN5,TECNO-IN5,Mali-T720MP2,Phone,Mediatek MT6737,2871MB,arm64-v8a;armeabi;armeabi-v7a,3.1,24
TERRA,TERRA_PAD_1006,TERRA_PAD_1006,TERRA_PAD_1006,PowerVR Rogue GE8320,Tablet,Mediatek MT6762,1816MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Touchmate,TM-MID1065,TM-MID1065,TM-MID1065,PowerVR Rogue GE8100,Tablet,Mediatek MT6739WA,2866MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Ulefone,Armor_3,Armor_3,Armor_3,Mali-G71MP2,Phone,Mediatek MT6763,3828MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Ulefone,Power 3S,Power_3S,Power_3S,Mali-G71MP2,Phone,Mediatek MT6763,3783-3803MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;27
Ulefone,Power 5,Power_5,Power_5,Mali-G71MP2,Phone,Mediatek MT6763,1721MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Ulefone,Armor_7E,Armor 7E,Armor_7E_Q,PowerVR Rogue GM9446,Phone,Mediatek MT6779p90,3626MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Ulefone,Armor6,Armor_6,Armor_6,Mali-G72 MP3MP3,Phone,Mediatek MT6771,1669MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Ulefone,Note_7P,Note_7P,Note_7P,PowerVR Rogue GE8300,Phone,Mediatek MT6761,2797MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Ulefone,Armor_6E,Armor_6E,Armor_6E,Mali-G72 MP3MP3,Phone,Mediatek MT6771T,,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Ulefone,Power 5S,Power_5S,Power_5S,Mali-G71MP2,Phone,Mediatek MT6763,3803MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Ulefone,T2,T2,T2,Mali-G72 MP3MP3,Phone,Mediatek MT6771,1669-2048MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28
Ulefone,Armor_5S,Armor 5S,Armor_5S,Mali-G71MP2,Phone,Mediatek MT6763,3824MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Ulefone,Armor 9,Armor 9,Armor_9,PowerVR Rogue GM9446,Phone,Mediatek MT6797,3552MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Ulefone,Armor_6S,Armor_6S,Armor_6S,Mali-G72 MP3MP3,Phone,Mediatek MT6771,2048-3755MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28
Ulefone,Armor 7,Armor 7,Armor_7_Q,PowerVR Rogue GM9446,Phone,Mediatek MT6779p90,3556MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Ulefone,Armor X5,Armor X5,Armor_X5_Q,PowerVR Rogue GE8320,Phone,Mediatek MT6762,2799MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Ulefone,Armor X5 Pro,Armor X5 Pro,Armor_X5_Pro,PowerVR Rogue GE8320,Phone,Mediatek MT6762M,3807MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Ulefone,Armor_5,Ulefone_Armor_5,Ulefone_Armor_5,Mali-G71MP2,Phone,Mediatek MT6763,3818MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Ulefone,Armor 9E,Armor 9E,Armor_9E,PowerVR Rogue GM9446,Phone,Mediatek MT6779p90,3552MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Ulefone,Armor_3W,Armor_3W,Armor_3W,Mali-G72 MP3MP3,Phone,Mediatek MT6771,1667MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Ulefone,Ulefone_X,Ulefone_X,Ulefone_X,Mali-G71MP2,Phone,Mediatek MT6763,3819MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Ulefone,Note 9P,Note 9P,Note_9P,PowerVR Rogue GE8320,Phone,Mediatek MT6762,3830MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Ulefone,P6000_Plus,P6000_Plus,P6000_Plus,PowerVR Rogue GE8100,Phone,Mediatek MT6739WW,2911MB,armeabi;armeabi-v7a,3.2,28
Ulefone,Armor X7 Pro,Armor X7 Pro,Armor_X7_Pro,PowerVR Rogue GE8300,Phone,Mediatek MT6761,3809MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Ulefone,Armor_7,Armor_7,Armor_7,PowerVR Rogue GM9446,Phone,Mediatek MT6779p90,3587MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Ulefone,Power 3,Power_3,Power_3,Mali-G71MP2,Phone,Mediatek MT6763,1697-1720MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;27
Ulefone,Armor 2,Armor_2,Armor_2,Mali-T880MP2,Phone,Mediatek MT6757V,1683MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
Ulefone,Armor_7E,Armor 7E,Armor_7E,PowerVR Rogue GM9446,Phone,Mediatek MT6779p90,3593MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Ulefone,Power 3S,Power 3S,Power_3S,Mali-G71MP2,Phone,Mediatek MT6763,3783-3803MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;27
